EnthalpyFus,JR Tm /K,CRC Tm /K
3.79,180.27,161.14999999999998
9.24,240.94,240.95
29.52,562.14,439.15
19.38,401.54,351.15
13.18,242.63,209.65
7.55,199.35,229.79
68.04,947.47,544.15
68.04,947.47,494.15
25.42,573.88,475.15
25.42,573.88,460.15
46.51,589.51,340.15
46.29,548.02,338.15
26.89,391.63,415.85
25.09,384.59,342.65
27.54,497.4,498.15
27.47,423.4500000000001,353.15
20.53,180.0,160.64999999999998
7.22,181.47,125.14999999999998
6.1,152.14,159.14999999999998
33.0,551.3299999999999,457.65
34.8,569.97,479.15
34.84,433.0,365.15
69.36,536.4000000000001,460.65
79.7,458.00000000000006,426.15
78.21,666.3199999999999,488.65
73.06,609.74,433.15
95.59,423.66,441.15
13.22,425.39,359.15
42.82,438.23,367.15
47.23,539.3900000000001,340.04999999999995
83.59,797.18,363.15
31.58,547.69,378.15
30.93,409.55,318.65
24.06,522.06,428.15
34.1,411.49,328.15
11.93,275.41,394.15
27.71,423.84,405.15
16.31,286.19000000000005,329.65
10.93,222.07,251.45
26.06,454.59,394.15
14.34,309.5,262.85
12.92,259.74,246.65
23.51,394.3200000000001,356.65
9.53,213.72000000000003,227.95
24.47,409.38,349.75
15.83,313.77,297.15
15.83,313.77,302.15
19.15,405.28,364.15
21.1,437.16,321.65
21.1,437.16,381.15
15.82,298.33000000000004,346.15
13.19,262.70000000000005,334.15
21.88,398.11,413.55
21.88,398.11,512.65
13.24,302.5,314.15
23.24,523.74,477.15
18.43,427.96,297.15
27.56,466.86000000000007,457.65
26.57,426.61,464.65
17.53,317.36,289.15
21.41,382.2600000000001,369.15
18.73,320.28000000000003,289.15
23.53,416.06,407.15
6.44,147.28,143.14999999999998
16.93,310.36,289.15
9.2,145.72,155.84999999999997
9.2,145.72,167.34999999999997
22.71,249.69,239.15
15.93,267.43,256.15
11.92,178.96,259.15
20.12,328.63,374.65
27.26,415.57,485.15
27.26,415.57,522.65
25.85,232.38,241.85
9.59,235.55,253.15
14.02,306.42,298.15
7.77,128.4,142.36
5.18,117.13,115.73
21.12,401.54,364.15
17.35,281.25000000000006,308.65
13.94,261.29999999999995,267.15
19.72,373.02,356.15
5.49,178.45,253.15
36.29,621.76,430.15
31.48,525.98,323.35
38.47,616.28,419.65
34.03,586.25,339.65
22.37,365.23,341.65
31.03,254.92,263.85
9.22,203.04,205.15
15.51,271.01000000000005,290.25
14.33,248.78,189.85
14.33,248.78,210.65
17.03,322.61,318.15
12.23,226.83,246.35
23.2,382.96,314.65
18.08,198.57,203.75
15.49,187.3,179.14999999999998
27.66,509.83,444.15
28.7,493.2,368.45
13.55,284.3,326.72
13.39,245.05,198.75
2.54,130.95,175.51
17.73,355.52,357.15
16.54,333.29,280.15
16.54,333.29,299.15
16.54,333.29,299.15
26.96,336.62,293.65
5.49,178.45,200.55
8.45,182.7,182.25
15.51,271.01000000000005,297.65
19.11,315.29,305.15
23.1,381.12,320.85
23.1,381.12,344.15
22.71,393.64,315.65
22.71,393.64,339.65
17.52,349.23,319.15
17.52,349.23,324.15
27.86,455.4,392.85
